2026-04-06 14:35:43,793 | INFO | scraper | Scrape finished with 1 records in rent mode for target 'Walthamstow' page 5 from https://www.rightmove.co.uk/property-to-rent/find.html with params={'locationIdentifier': 'REGION^85310', 'propertyTypes': 'flat,terraced', 'mustHave': 'parking,garden', 'index': '96'}
2026-04-06 14:35:44,128 | INFO | scraper | Inserted 700 new rent rows into D:\Housing Int\real_estate_scraper\database\raw_data.db and skipped 0 duplicates
2026-04-06 14:35:44,987 | INFO | scraper | Scrape finished with 25 records in buy mode for target 'London' page 1 from https://www.rightmove.co.uk/property-for-sale/find.html with params={'locationIdentifier': 'REGION^87490', 'propertyTypes': 'flat,terraced', 'mustHave': 'parking,garden', 'index': '0'}
2026-04-06 14:35:46,045 | INFO | scraper | Scrape finished with 25 records in buy mode for target 'London' page 2 from https://www.rightmove.co.uk/property-for-sale/find.html with params={'locationIdentifier': 'REGION^87490', 'propertyTypes': 'flat,terraced', 'mustHave': 'parking,garden', 'index': '24'}
2026-04-06 14:35:46,883 | INFO | scraper | Scrape finished with 25 records in buy mode for target 'London' page 3 from https://www.rightmove.co.uk/property-for-sale/find.html with params={'locationIdentifier': 'REGION^87490', 'propertyTypes': 'flat,terraced', 'mustHave': 'parking,garden', 'index': '48'}
2026-04-06 14:35:47,671 | INFO | scraper | Scrape finished with 25 records in buy mode for target 'London' page 4 from https://www.rightmove.co.uk/property-for-sale/find.html with params={'locationIdentifier': 'REGION^87490', 'propertyTypes': 'flat,terraced', 'mustHave': 'parking,garden', 'index': '72'}
2026-04-06 14:35:48,705 | INFO | scraper | Scrape finished with 25 records in buy mode for target 'London' page 5 from https://www.rightmove.co.uk/property-for-sale/find.html with params={'locationIdentifier': 'REGION^87490', 'propertyTypes': 'flat,terraced', 'mustHave': 'parking,garden', 'index': '96'}
2026-04-06 14:35:49,525 | INFO | scraper | Scrape finished with 25 records in buy mode for target 'Central London' page 1 from https://www.rightmove.co.uk/property-for-sale/find.html with params={'locationIdentifier': 'REGION^92824', 'propertyTypes': 'flat,terraced', 'mustHave': 'parking,garden', 'index': '0'}
2026-04-06 14:35:50,233 | INFO | scraper | Scrape finished with 25 records in buy mode for target 'Central London' page 2 from https://www.rightmove.co.uk/property-for-sale/find.html with params={'locationIdentifier': 'REGION^92824', 'propertyTypes': 'flat,terraced', 'mustHave': 'parking,garden', 'index': '24'}
2026-04-06 14:35:50,934 | INFO | scraper | Scrape finished with 25 records in buy mode for target 'Central London' page 3 from https://www.rightmove.co.uk/property-for-sale/find.html with params={'locationIdentifier': 'REGION^92824', 'propertyTypes': 'flat,terraced', 'mustHave': 'parking,garden', 'index': '48'}
2026-04-06 14:35:51,645 | INFO | scraper | Scrape finished with 25 records in buy mode for target 'Central London' page 4 from https://www.rightmove.co.uk/property-for-sale/find.html with params={'locationIdentifier': 'REGION^92824', 'propertyTypes': 'flat,terraced', 'mustHave': 'parking,garden', 'index': '72'}
2026-04-06 14:35:52,615 | INFO | scraper | Scrape finished with 25 records in buy mode for target 'Central London' page 5 from https://www.rightmove.co.uk/property-for-sale/find.html with params={'locationIdentifier': 'REGION^92824', 'propertyTypes': 'flat,terraced', 'mustHave': 'parking,garden', 'index': '96'}
2026-04-06 14:35:53,419 | INFO | scraper | Scrape finished with 25 records in buy mode for target 'Wimbledon' page 1 from https://www.rightmove.co.uk/property-for-sale/find.html with params={'locationIdentifier': 'REGION^87540', 'propertyTypes': 'flat,terraced', 'mustHave': 'parking,garden', 'index': '0'}
2026-04-06 14:35:54,158 | INFO | scraper | Scrape finished with 25 records in buy mode for target 'Wimbledon' page 2 from https://www.rightmove.co.uk/property-for-sale/find.html with params={'locationIdentifier': 'REGION^87540', 'propertyTypes': 'flat,terraced', 'mustHave': 'parking,garden', 'index': '24'}
2026-04-06 14:35:54,947 | INFO | scraper | Scrape finished with 25 records in buy mode for target 'Wimbledon' page 3 from https://www.rightmove.co.uk/property-for-sale/find.html with params={'locationIdentifier': 'REGION^87540', 'propertyTypes': 'flat,terraced', 'mustHave': 'parking,garden', 'index': '48'}
2026-04-06 14:35:55,793 | INFO | scraper | Scrape finished with 25 records in buy mode for target 'Wimbledon' page 4 from https://www.rightmove.co.uk/property-for-sale/find.html with params={'locationIdentifier': 'REGION^87540', 'propertyTypes': 'flat,terraced', 'mustHave': 'parking,garden', 'index': '72'}
2026-04-06 14:35:56,572 | INFO | scraper | Scrape finished with 24 records in buy mode for target 'Wimbledon' page 5 from https://www.rightmove.co.uk/property-for-sale/find.html with params={'locationIdentifier': 'REGION^87540', 'propertyTypes': 'flat,terraced', 'mustHave': 'parking,garden', 'index': '96'}
2026-04-06 14:35:57,441 | INFO | scraper | Scrape finished with 25 records in buy mode for target 'North London' page 1 from https://www.rightmove.co.uk/property-for-sale/find.html with params={'locationIdentifier': 'REGION^92826', 'propertyTypes': 'flat,terraced', 'mustHave': 'parking,garden', 'index': '0'}
2026-04-06 14:35:58,337 | INFO | scraper | Scrape finished with 25 records in buy mode for target 'North London' page 2 from https://www.rightmove.co.uk/property-for-sale/find.html with params={'locationIdentifier': 'REGION^92826', 'propertyTypes': 'flat,terraced', 'mustHave': 'parking,garden', 'index': '24'}
2026-04-06 14:35:59,142 | INFO | scraper | Scrape finished with 25 records in buy mode for target 'North London' page 3 from https://www.rightmove.co.uk/property-for-sale/find.html with params={'locationIdentifier': 'REGION^92826', 'propertyTypes': 'flat,terraced', 'mustHave': 'parking,garden', 'index': '48'}
2026-04-06 14:35:59,855 | INFO | scraper | Scrape finished with 25 records in buy mode for target 'North London' page 4 from https://www.rightmove.co.uk/property-for-sale/find.html with params={'locationIdentifier': 'REGION^92826', 'propertyTypes': 'flat,terraced', 'mustHave': 'parking,garden', 'index': '72'}
2026-04-06 14:36:00,606 | INFO | scraper | Scrape finished with 25 records in buy mode for target 'North London' page 5 from https://www.rightmove.co.uk/property-for-sale/find.html with params={'locationIdentifier': 'REGION^92826', 'propertyTypes': 'flat,terraced', 'mustHave': 'parking,garden', 'index': '96'}
2026-04-06 14:36:01,391 | INFO | scraper | Scrape finished with 25 records in buy mode for target 'South London' page 1 from https://www.rightmove.co.uk/property-for-sale/find.html with params={'locationIdentifier': 'REGION^92051', 'propertyTypes': 'flat,terraced', 'mustHave': 'parking,garden', 'index': '0'}
2026-04-06 14:36:02,222 | INFO | scraper | Scrape finished with 25 records in buy mode for target 'South London' page 2 from https://www.rightmove.co.uk/property-for-sale/find.html with params={'locationIdentifier': 'REGION^92051', 'propertyTypes': 'flat,terraced', 'mustHave': 'parking,garden', 'index': '24'}
2026-04-06 14:36:03,275 | INFO | scraper | Scrape finished with 25 records in buy mode for target 'South London' page 3 from https://www.rightmove.co.uk/property-for-sale/find.html with params={'locationIdentifier': 'REGION^92051', 'propertyTypes': 'flat,terraced', 'mustHave': 'parking,garden', 'index': '48'}
