lat,lon,osm_category,osm_type,place_name
51.5127654,-0.0937438,amenity,restaurant,stem + stem
51.5127135,-0.0937602,amenity,restaurant,pali kitchen
51.5155458,-0.0804749,amenity,restaurant,fazenda
51.5163287,-0.1027271,amenity,restaurant,leydi
51.5099581,-0.0858751,amenity,restaurant,papi's munchies
51.5136065,-0.0863455,amenity,restaurant,lasagneria
51.5149913,-0.0873647,amenity,restaurant,temper restaurants city of london
51.5183819,-0.0789866,amenity,restaurant,roti king
51.5108697,-0.0841331,amenity,restaurant,blacklock city
51.5179318,-0.0836589,amenity,restaurant,los mochis london city
51.5136605,-0.0736304,amenity,restaurant,wang gui ren hot pot
51.5105045,-0.084044,amenity,restaurant,the alchemist
51.512941,-0.092999,amenity,restaurant,acer
51.5170055,-0.1078236,amenity,restaurant,hotori
51.5167743,-0.0788213,amenity,restaurant,köd
51.5126506,-0.083647,amenity,restaurant,mrbl
51.5127141,-0.078871,leisure,fitness_centre,fitness first
51.5125242,-0.0848775,shop,supermarket,amazon fresh
51.511247,-0.076255,leisure,fitness_centre,fitness first
51.5117385,-0.0970366,leisure,fitness_centre,fitness first
51.5096752,-0.0914835,leisure,fitness_centre,nuffield health fitness & wellbeing
51.5105644,-0.0925666,leisure,fitness_centre,f45 training
51.5179134,-0.0844427,shop,supermarket,amazon fresh
51.5185695,-0.0840269,leisure,fitness_centre,fitness first
51.5169937,-0.0787735,leisure,fitness_centre,fitness first
51.5150418,-0.0829711,leisure,fitness_centre,fitness first
51.5116036,-0.0862991,leisure,fitness_centre,cyclebeat
51.5112981,-0.0846292,leisure,fitness_centre,fitness first
51.5117478,-0.0903972,leisure,fitness_centre,virgin active
51.5198011,-0.0967055,shop,supermarket,geranium
51.5175023,-0.0807859,leisure,fitness_centre,fitness first
51.5178552,-0.0974636,leisure,fitness_centre,virgin active
51.5145187,-0.0771143,leisure,fitness_centre,puregym
51.5172018,-0.0983287,leisure,fitness_centre,puregym
51.5174713,-0.088064,leisure,fitness_centre,light centre moorgate
51.5104221,-0.0897478,leisure,fitness_centre,gymbox
51.5102447,-0.0805639,leisure,fitness_centre,third space
51.5170257,-0.0881139,leisure,fitness_centre,puregym
51.5186453,-0.0801583,shop,supermarket,eataly
51.5177653,-0.0830452,leisure,fitness_centre,john reed fitness
51.5197188,-0.0897096,leisure,fitness_centre,nuffield health fitness & wellbeing
51.5104577,-0.0831381,leisure,fitness_centre,roar
51.5118924,-0.0952228,railway,station,mansion house
51.5152733,-0.1046794,highway,bus_stop,fleet street / city thameslink
51.5174349,-0.0806135,highway,bus_stop,liverpool street station
51.5179924,-0.1051321,highway,bus_stop,snow hill
51.5134333,-0.0881305,railway,subway_entrance,"bank station, exit 4"
51.5106598,-0.1041738,highway,bus_stop,blackfriars station / north entrance
51.5138713,-0.0965761,highway,bus_stop,new change / cannon street
51.5152356,-0.0984732,highway,bus_stop,st paul's station
51.5149257,-0.0752245,highway,bus_stop,st botolph street
51.5127663,-0.0755596,highway,bus_stop,minories
51.5141469,-0.0747599,highway,bus_stop,aldgate station
51.5133627,-0.0874589,highway,bus_stop,bank station / cornhill
51.5132793,-0.087615,highway,bus_stop,bank station / cornhill
51.5122269,-0.0880172,highway,bus_stop,bank station / king william street
51.5199162,-0.0977434,highway,bus_stop,barbican
51.512217,-0.1025194,highway,bus_stop,blackfriars station
51.5120078,-0.1027533,highway,bus_stop,blackfriars station
51.5123878,-0.1042751,highway,bus_stop,blackfriars station / north entrance
51.5134997,-0.1041377,highway,bus_stop,apothecary street
51.5114477,-0.1020977,highway,bus_stop,blackfriars station
51.5114084,-0.087137,highway,bus_stop,king william street / monument station
51.5107942,-0.0849072,highway,bus_stop,monument station
51.5122502,-0.0849754,highway,bus_stop,fenchurch street
51.5113694,-0.0855789,highway,bus_stop,gracechurch street / monument station
51.511351,-0.0853918,highway,bus_stop,fenchurch street
51.5106773,-0.0851725,highway,bus_stop,monument station
51.5186315,-0.0881265,highway,bus_stop,moorgate station
51.5177863,-0.0884081,highway,bus_stop,moorgate station
51.5178803,-0.0826904,highway,bus_stop,liverpool street station
51.5180364,-0.0826019,highway,bus_stop,liverpool street station
51.518127,-0.0825546,highway,bus_stop,liverpool street station
51.5182528,-0.0824979,highway,bus_stop,liverpool street station
51.5180772,-0.0799586,highway,bus_stop,liverpool street station
51.5157403,-0.0999169,highway,bus_stop,king edward street
51.5150449,-0.0978521,highway,bus_stop,st paul's station
51.515543,-0.0970327,highway,bus_stop,st paul's station
51.5144294,-0.0956865,highway,bus_stop,st paul's station
51.5172636,-0.0805711,highway,bus_stop,liverpool street station
51.5185559,-0.0797461,highway,bus_stop,liverpool street station
51.5126558,-0.0948153,highway,bus_stop,mansion house station
51.5121219,-0.0946902,highway,bus_stop,mansion house station
51.5169254,-0.1036938,highway,bus_stop,city thameslink station
51.5165025,-0.1028863,highway,bus_stop,city thameslink station
51.5104613,-0.0750486,highway,bus_stop,tower gateway station
51.5107986,-0.0751435,highway,bus_stop,tower gateway station
51.5161403,-0.0975379,highway,bus_stop,angel street
51.5207704,-0.0941673,highway,bus_stop,beech street
51.5104006,-0.090147,highway,bus_stop,cannon street station
51.5096647,-0.0875762,highway,bus_stop,london bridge
51.5159113,-0.0811656,highway,bus_stop,bishopsgate
51.5158325,-0.0821223,highway,bus_stop,camomile street
51.516309,-0.0822139,highway,bus_stop,wormwood street
51.5161855,-0.082672,highway,bus_stop,wormwood street
51.5180324,-0.1053424,highway,bus_stop,snow hill
51.5145853,-0.0785882,highway,bus_stop,duke's place
51.5142214,-0.1087338,highway,bus_stop,fetter lane
51.514152,-0.1083219,highway,bus_stop,fetter lane
51.5159897,-0.0891166,highway,bus_stop,great swan alley
51.509925,-0.0811685,highway,bus_stop,great tower street
51.5099515,-0.0815005,highway,bus_stop,great tower street
51.513755,-0.0916123,highway,bus_stop,bank station / poultry
51.5135647,-0.0910865,highway,bus_stop,poultry / bank station
51.5177487,-0.1087507,highway,bus_stop,holborn circus / fetter lane
51.5178204,-0.109385,highway,bus_stop,holborn circus / fetter lane
51.5175746,-0.1060007,highway,bus_stop,holborn circus
51.5160329,-0.0797087,highway,bus_stop,houndsditch
51.5110991,-0.109334,highway,bus_stop,temple avenue
51.5165565,-0.0986455,highway,bus_stop,king edward street / st paul's station
51.5138407,-0.1010349,highway,bus_stop,st paul's cathedral
51.5139541,-0.1019016,highway,bus_stop,ludgate hill / old bailey
51.509521,-0.0873094,highway,bus_stop,monument station
51.5094616,-0.086998,highway,bus_stop,monument station
51.5141329,-0.0838965,highway,bus_stop,threadneedle street
51.5138411,-0.0838991,highway,bus_stop,threadneedle street
51.5128246,-0.0733002,highway,bus_stop,mansell street
51.515584,-0.0894348,highway,bus_stop,london wall
51.5110107,-0.1102178,highway,bus_stop,temple avenue
51.5175768,-0.0951951,highway,bus_stop,london wall
51.5188725,-0.0972387,highway,bus_stop,museum of london
51.5174023,-0.0951159,highway,bus_stop,london wall
51.5156242,-0.0842733,highway,bus_stop,great winchester street
51.5153073,-0.0844124,highway,bus_stop,great winchester street
51.5134935,-0.0962691,highway,bus_stop,new change / cannon street
51.5130352,-0.0974829,highway,bus_stop,st paul's churchyard
51.5142602,-0.0852149,highway,bus_stop,old broad street
51.5141087,-0.0855705,highway,bus_stop,old broad street
51.5142474,-0.0896183,highway,bus_stop,bank station / princes street
51.5140077,-0.0892554,highway,bus_stop,bank station / princes street
51.5116195,-0.0826381,highway,bus_stop,rood lane
51.511561,-0.082162,highway,bus_stop,rood lane
51.5099713,-0.0933149,highway,bus_stop,queen street place
51.5199522,-0.0791298,highway,bus_stop,primrose street
51.5142493,-0.1053369,highway,bus_stop,ludgate circus
51.5141426,-0.1066769,highway,bus_stop,shoe lane
51.5174843,-0.1012598,highway,bus_stop,st bartholomew's hospital
51.5148933,-0.104359,highway,bus_stop,fleet street / city thameslink
51.5113044,-0.0890207,highway,bus_stop,cannon street station
51.511843,-0.0911173,highway,bus_stop,cannon street station
51.5182021,-0.1122349,highway,bus_stop,chancery lane station
51.5129246,-0.0911482,highway,bus_stop,bank station / queen victoria street
51.5128795,-0.0917463,highway,bus_stop,bank station / queen victoria street
51.5135215,-0.082698,highway,bus_stop,st mary axe
51.5134381,-0.0824137,highway,bus_stop,st mary axe
51.5144954,-0.0857468,highway,bus_stop,threadneedle street
51.5131894,-0.0975055,highway,bus_stop,st paul's cathedral
51.5133193,-0.0995833,highway,bus_stop,st paul's cathedral
51.5133225,-0.0787288,highway,bus_stop,st katharine cree
51.51326,-0.0791636,highway,bus_stop,st katharine cree
51.5168513,-0.1067355,highway,bus_stop,st andrew street
51.5088324,-0.1045118,highway,bus_stop,blackfriars station / south entrance
51.5084261,-0.1042773,highway,bus_stop,blackfriars station / south entrance
51.513857,-0.1104331,highway,bus_stop,chancery lane
51.5134486,-0.0849933,highway,bus_stop,bishopsgate
51.5175173,-0.1065289,highway,bus_stop,holborn circus
51.5141957,-0.0949795,highway,bus_stop,bread street
51.521799,-0.0806378,highway,bus_stop,worship street
51.5186059,-0.0855017,highway,bus_stop,eldon street
51.5120528,-0.0992195,highway,bus_stop,millennium bridge
51.5118786,-0.0979594,highway,bus_stop,millennium bridge
51.51344,-0.0902804,railway,subway_entrance,"bank station, exit g"
51.5173672,-0.080354,railway,train_station_entrance,bishopsgate (east)
51.5171863,-0.0830154,railway,subway_entrance,old broad street
51.5177298,-0.0811754,railway,subway_entrance,unknown
51.5184769,-0.0882457,railway,subway_entrance,moorgate (west side)
51.5177725,-0.082344,railway,subway_entrance,unknown
51.5104525,-0.0859883,railway,subway_entrance,fish street hill
51.5140935,-0.0755249,railway,subway_entrance,aldgate
51.5179967,-0.082467,railway,subway_entrance,unknown
51.5123746,-0.0932415,railway,subway_entrance,unknown
51.5124088,-0.0943162,railway,subway_entrance,mansion house
51.5166866,-0.0848527,highway,bus_stop,all hallows church
51.5131048,-0.0893749,railway,station,bank
51.5181007,-0.1115047,railway,subway_entrance,barnards inn
51.5181134,-0.111605,railway,subway_entrance,chancery lane
51.5149482,-0.0976011,railway,subway_entrance,st. paul's
51.512205,-0.0937994,railway,subway_entrance,mansion house
51.5209385,-0.091734,highway,bus_stop,silk street
51.5133574,-0.0902138,railway,subway_entrance,"bank station, exit 9"
51.511678,-0.103896,railway,subway_entrance,blackfriars station
51.5105927,-0.0747762,railway,subway_entrance,tower gateway dlr station
51.522208,-0.0973996,highway,bus_stop,baltic street west
51.520174,-0.0975626,railway,subway_entrance,unknown
51.5106911,-0.0865591,railway,subway_entrance,monument
51.5109164,-0.0869669,railway,subway_entrance,monument
51.5109461,-0.0864492,railway,subway_entrance,monument
51.5113607,-0.0906107,railway,subway_entrance,cannon street
51.51358,-0.0881748,railway,subway_entrance,"bank station, exit 3"
51.5134264,-0.0892088,railway,subway_entrance,"bank station, exit 1"
51.513507,-0.0891244,railway,subway_entrance,"bank station, exit 1"
51.513154,-0.0898307,railway,subway_entrance,"bank station, exit 8"
51.5184049,-0.0879601,railway,subway_entrance,moorgate (east side)
51.5185311,-0.0885115,railway,subway_entrance,moorfields
51.5201797,-0.0986342,railway,station,barbican
51.5181738,-0.1117642,railway,station,chancery lane
51.5106328,-0.0861271,railway,station,monument
51.513866,-0.0753367,highway,bus_stop,aldgate bus station
51.5178724,-0.0799505,highway,bus_stop,liverpool street station
