borough_code,borough_name,avg_price,population,hectares,population_per_hectare,crime_count,amenity_count,amenity_diversity,crime_per_capita
E05000439,Lewisham,221370.7191011236,773156,6744.0,114.643535,57999,,,0.0750159088204709
E05000440,Lewisham,221370.7191011236,634658,7472.0,84.93816916525,57999,,,0.09138622691276246
E05000441,Lewisham,221370.7191011236,644274,6884.0,93.59006391925,57999,,,0.09002225761089226
E05000442,Lewisham,221370.7191011236,640321,9556.0,67.00722059425,57999,,,0.09057800696837992
E05000443,Lewisham,221370.7191011236,1204024,7096.0,169.67643743175,57999,,,0.04817096669169385
E05000444,Lewisham,221370.7191011236,680844,7312.0,93.11323851025,57999,,,0.08518691506424379
E05000445,Lewisham,221370.7191011236,624337,9568.0,65.252612876,57999,,,0.09289694507934017
E05000446,Lewisham,221370.7191011236,624067,6436.0,96.96504039425,57999,,,0.09293713655745296
E05000447,Lewisham,221370.7191011236,667317,7236.0,92.2218076275,57999,,,0.08691371567036356
E05000448,Lewisham,221370.7191011236,1131804,8224.0,137.62208170925,57999,,,0.05124473848828949
E05000449,Lewisham,221370.7191011236,1025863,7268.0,141.14790864424998,57999,,,0.05653678902543517
E05000450,Lewisham,221370.7191011236,676217,6736.0,100.388509502,57999,,,0.08576980466329595
E05000451,Lewisham,221370.7191011236,851736,7124.0,119.558674899,57999,,,0.06809504353461636
E05000452,Lewisham,221370.7191011236,691095,6980.0,99.01074498675,57999,,,0.08392333904890066
E05000453,Lewisham,221370.7191011236,736132,6176.0,119.192357515,57999,,,0.07878885851993936
E05000454,Lewisham,221370.7191011236,633135,8896.0,71.17075089975,57999,,,0.09160605558056338
E05000455,Merton,326767.4943820225,507724,5572.0,91.1206030135,26835,,,0.05285351884094508
E05000456,Merton,326767.4943820225,406862,8896.0,45.7353866905,26835,,,0.06595602440139409
E05000457,Merton,326767.4943820225,499701,4444.0,112.44396939600001,26835,,,0.053702113864090725
E05000458,Merton,326767.4943820225,564104,11988.0,47.055722388,26835,,,0.047571015273779306
E05000459,Merton,326767.4943820225,433128,4604.0,94.07645525550001,26835,,,0.06195628082229734
E05000460,Merton,326767.4943820225,539502,4572.0,118.001312339,26835,,,0.04974031606926388
E05000461,Merton,326767.4943820225,428471,3536.0,121.17392533750001,26835,,,0.0626296762207944
E05000462,Merton,326767.4943820225,392569,4736.0,82.8904138515,26835,,,0.0683574097801915
E05000463,Merton,326767.4943820225,509671,4720.0,107.98114407774999,26835,,,0.0526516125108158
E05000464,Merton,326767.4943820225,434268,5924.0,73.3065496285,26835,,,0.06179363895106248
E05000465,Merton,326767.4943820225,357832,7232.0,49.47898230075,26835,,,0.07499329294193924
E05000466,Merton,326767.4943820225,496955,7268.0,68.3757567425,26835,,,0.0539988530148605
E05000467,Merton,326767.4943820225,425525,8636.0,49.273390459,26835,,,0.06306327477821515
E05000468,Merton,326767.4943820225,507639,7352.0,69.04774211125,26835,,,0.05286236873053489
E05000469,Merton,326767.4943820225,425586,7412.0,57.418510523500004,26835,,,0.06305423580662897
E05000470,Merton,326767.4943820225,487705,7368.0,66.1923181315,26835,,,0.055023015962518323
E05000471,Merton,326767.4943820225,429754,4296.0,100.0358472985,26835,,,0.06244269977708177
E05000472,Merton,326767.4943820225,341760,24872.0,13.7407526535,26835,,,0.07852001404494383
E05000473,Merton,326767.4943820225,455859,7804.0,58.413505894000004,26835,,,0.058866886471474734
E05000474,Merton,326767.4943820225,560377,9200.0,60.910543478,26835,,,0.047887404372413574
E05000475,Newham,188621.1797752809,1096003,25024.0,43.79807384875,79421,,,0.07246421770743328
E05000476,Newham,188621.1797752809,787147,3664.0,214.832696505,79421,,,0.10089729110318657
E05000477,Newham,188621.1797752809,1030865,10092.0,102.146749903,79421,,,0.07704306577485898
E05000478,Newham,188621.1797752809,1118619,7268.0,153.91015410075,79421,,,0.070999151632504
E05000479,Newham,188621.1797752809,620373,8252.0,75.17850218225,79421,,,0.1280213677900231
E05000480,Newham,188621.1797752809,782510,4156.0,188.2844080825,79421,,,0.1014951885598906
E05000481,Newham,188621.1797752809,574375,3616.0,158.8426438125,79421,,,0.13827377584330794
E05000482,Newham,188621.1797752809,645255,7248.0,89.02524834475,79421,,,0.12308467195139906
E05000483,Newham,188621.1797752809,659637,4984.0,132.35092295249999,79421,,,0.12040106907283854
E05000484,Newham,188621.1797752809,774312,4768.0,162.397651005,79421,,,0.10256976515926397
E05000485,Newham,188621.1797752809,685906,2972.0,230.7893674325,79421,,,0.11578991873522028
E05000486,Newham,188621.1797752809,664485,3220.0,206.3618012425,79421,,,0.11952263783230622
E05000487,Newham,188621.1797752809,711931,7596.0,93.7244602425,79421,,,0.11155715933145206
E05000488,Newham,188621.1797752809,630645,5400.0,116.7861111125,79421,,,0.12593614474070197
E05000489,Newham,188621.1797752809,650302,3924.0,165.724260955,79421,,,0.12212941064305508
E05000490,Newham,188621.1797752809,713617,5544.0,128.7187950925,79421,,,0.11129359306182449
E05000491,Newham,188621.1797752809,1098950,19172.0,57.32057166775,79421,,,0.07226989398971746
E05000492,Newham,188621.1797752809,2202376,16948.0,129.94902053475,79421,,,0.03606150811668852
E05000493,Newham,188621.1797752809,637801,5516.0,115.62744743,79421,,,0.12452316631676652
E05000494,Newham,188621.1797752809,666042,5340.0,124.7269662825,79421,,,0.11924323090736019
E05000495,Redbridge,236802.1797752809,780864,34448.0,22.6679052485,47390,,,0.06068918531267929
E05000496,Redbridge,236802.1797752809,589717,6108.0,96.54829731775,47390,,,0.08036057973570374
E05000497,Redbridge,236802.1797752809,513144,10316.0,49.74253586675,47390,,,0.0923522442043559
E05000498,Redbridge,236802.1797752809,701767,6056.0,115.87962351125,47390,,,0.06752953615658759
E05000499,Redbridge,236802.1797752809,542605,5968.0,90.91906836525,47390,,,0.08733793459330452
E05000500,Redbridge,236802.1797752809,573075,9964.0,57.51455238925,47390,,,0.08269423722898399
E05000501,Redbridge,236802.1797752809,931698,5084.0,183.26081825,47390,,,0.05086412120665709
